98 28 78 161 86 108 133 91 142 115 18 117 60 14 152 39 158 37 24 129 
85 21 111 15 154 6 33 170 34 151 138 165 26 10 166 99 76 180 188 68 
32 62 52 116 104 51 183 72 189 16 122 157 184 65 20 106 8 177 45 144 
31 120 44 1 119 25 3 55 147 5 80 121 88 112 47 77 49 149 69 137 
178 143 130 162 42 29 66 125 186 107 153 146 64 159 90 38 135 126 92 134 
176 182 82 150 70 113 2 175 93 192 105 155 164 84 7 36 13 46 40 73 
110 123 145 4 103 185 48 187 124 35 167 139 89 132 148 81 163 191 22 168 
171 131 27 94 95 179 74 181 59 17 41 156 140 101 43 67 109 9 193 19 
12 87 118 83 194 58 100 160 79 173 0 75 11 141 61 136 56 54 30 53 
128 174 63 172 190 57 102 169 127 97 23 96 71 114 50 -1 -1 -1 -1 -1 
